major_category_ja,subcategory_ja,n,energy_mean_kcal,energy_sd,protein_mean_g,protein_sd,fat_mean_g,fat_sd,carb_mean_g,carb_sd,salt_eq_mean_g,salt_eq_sd
穀物・麺類,即席麺,415,390.3,176.2,9.7,4.5,15.1,10.1,54.2,22.8,5.3,2.6
穀物・麺類,冷凍麺,248,164.4,94.8,4.7,2.4,3.7,5.2,28.0,14.4,1.9,1.4
穀物・麺類,その他穀物加工品,207,293.2,115.0,8.6,7.0,3.7,5.9,57.6,23.2,1.0,2.0
穀物・麺類,冷凍米飯,130,142.6,58.5,3.1,1.4,2.2,2.3,27.7,12.2,0.7,0.5
穀物・麺類,レトルト米飯・粥,118,245.2,221.6,7.0,6.8,6.3,7.3,40.4,36.4,2.2,2.1
穀物・麺類,チルド麺,58,226.8,98.4,7.5,4.4,2.3,2.0,44.5,20.7,2.8,2.3
パン類,菓子パン,96,349.5,98.1,7.3,2.3,13.3,8.4,50.2,13.0,0.7,0.3
パン類,食パン,80,260.7,11.7,8.9,0.6,4.1,1.4,47.0,1.8,1.1,0.2
パン類,調理パン,41,342.5,121.0,7.9,3.0,16.4,12.0,41.0,14.8,1.1,0.6
パン類,その他パン,12,403.8,226.9,9.5,6.5,15.7,12.2,56.2,34.2,1.3,1.0
豆腐・大豆加工品,豆腐類,95,70.1,24.8,5.8,1.5,4.1,1.8,2.5,2.2,0.1,0.3
豆腐・大豆加工品,その他大豆加工品,140,166.8,131.8,10.6,10.3,7.9,9.1,15.0,13.7,0.6,1.1
豆腐・大豆加工品,納豆類,40,196.9,68.0,16.2,5.5,9.0,3.6,14.2,3.4,1.1,0.3
水産加工品,缶詰・瓶詰,404,164.1,91.1,13.7,7.2,8.7,8.9,7.7,8.5,2.6,4.2
水産加工品,乾物・干物,281,208.6,102.6,24.8,22.1,4.4,6.1,27.8,28.0,4.7,6.2
水産加工品,その他水産,245,155.7,122.0,13.3,13.7,7.4,9.4,9.4,11.4,2.3,3.1
水産加工品,水産練り製品,126,125.0,49.2,10.9,2.8,2.8,3.1,14.1,7.6,2.0,0.8
食肉加工品,その他食肉加工品,110,211.1,89.6,14.6,7.0,11.8,7.7,11.6,9.2,1.9,1.5
食肉加工品,ソーセージ・ウインナー,66,271.7,66.2,11.1,1.8,22.3,9.1,6.7,5.1,1.8,0.3
食肉加工品,ハム類,35,166.2,65.6,18.0,4.1,8.4,7.3,4.7,4.1,2.5,1.1
食肉加工品,ベーコン,16,257.4,44.9,15.1,0.9,20.9,5.4,2.2,1.4,2.1,0.4
食肉加工品,サラダチキン,10,159.7,165.9,19.2,7.1,10.6,23.2,0.9,0.8,2.0,0.4
乳製品,ヨーグルト,159,71.4,42.8,3.5,1.6,1.8,2.4,10.4,5.9,0.1,0.0
乳製品,牛乳・加工乳,113,56.2,19.5,3.0,0.9,3.0,1.5,4.5,1.4,0.1,0.0
乳製品,チーズ,109,273.7,129.0,16.4,9.4,21.8,10.2,2.8,6.3,1.6,1.0
乳製品,乳飲料,74,48.9,21.8,1.6,1.4,0.5,1.1,9.7,4.2,0.1,0.1
乳製品,バター・マーガリン,35,452.3,321.0,0.4,0.8,48.0,36.1,5.0,14.4,0.6,0.6
乳製品,クリーム,24,356.7,217.0,2.5,2.6,29.0,17.0,21.1,21.2,0.3,0.3
乳製品,その他乳製品,15,200.7,104.1,7.2,11.5,7.4,7.3,25.9,18.5,0.4,0.4
菓子類,スナック菓子,406,466.5,147.3,7.5,5.7,25.4,13.6,53.0,20.0,1.2,0.9
菓子類,チョコレート,238,427.0,212.7,5.5,3.2,25.7,13.8,44.0,23.0,0.2,0.2
菓子類,アイスクリーム・氷菓,227,137.2,92.9,1.9,2.2,5.3,5.5,20.8,16.5,0.1,0.2
菓子類,洋菓子・ケーキ,155,373.4,143.4,5.4,2.4,18.6,10.3,46.4,19.4,0.4,0.3
菓子類,米菓,149,448.5,86.3,10.0,11.3,16.3,12.4,66.3,16.5,1.9,1.3
菓子類,ビスケット・クッキー,121,484.7,65.9,7.0,2.1,22.8,7.9,64.0,8.2,0.7,0.4
菓子類,その他菓子,135,341.0,207.6,6.4,8.7,15.5,22.8,45.4,24.8,0.8,2.1
菓子類,キャンデー・グミ,89,355.7,91.2,3.4,5.1,4.6,6.3,77.3,20.3,0.5,1.9
菓子類,和生菓子,51,224.8,88.2,5.7,3.5,4.2,8.1,41.3,18.4,0.5,0.6
菓子類,和干菓子,19,336.6,123.7,4.8,3.3,4.5,7.8,69.3,22.1,0.3,0.7
飲料,果汁・野菜飲料,353,44.7,45.8,0.5,2.5,0.1,0.4,10.9,11.6,0.1,0.1
飲料,その他飲料,210,80.2,128.8,1.4,3.0,1.0,3.5,18.0,28.7,0.2,0.4
飲料,コーヒー飲料,187,51.5,88.6,1.2,2.2,1.1,2.5,9.2,15.0,0.1,0.2
飲料,スポーツ・機能性飲料,109,54.9,89.7,0.5,2.1,0.0,0.3,13.7,22.0,0.3,0.7
飲料,緑茶・ほうじ茶,145,33.3,101.0,0.9,4.0,0.2,0.8,6.9,21.4,0.0,0.1
飲料,炭酸飲料,85,28.5,31.2,0.0,0.1,0.0,0.0,7.3,7.6,0.0,0.1
飲料,紅茶・ウーロン茶,60,36.3,82.8,0.3,0.7,0.5,1.9,7.5,16.7,0.1,0.1
飲料,豆乳飲料,27,53.3,13.9,3.5,1.5,2.2,0.9,5.0,2.5,0.1,0.1
アルコール飲料,チューハイ・カクテル,114,43.4,11.6,0.0,0.0,0.0,0.0,3.2,3.3,0.1,0.1
アルコール飲料,ビール・発泡酒,54,38.3,18.0,0.3,0.2,0.0,0.0,2.8,1.4,0.1,0.3
アルコール飲料,日本酒・焼酎,23,198.5,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
アルコール飲料,その他アルコール,19,156.7,75.6,0.0,0.0,0.0,0.0,8.0,13.3,0.1,0.1
調味料・ソース,その他調味料,506,310.6,227.4,6.1,8.6,14.8,26.7,39.3,25.8,9.2,18.2
調味料・ソース,料理の素・ミックス,192,250.4,155.9,7.4,5.3,9.9,11.6,32.5,23.2,12.6,13.0
調味料・ソース,ドレッシング・マヨネーズ,137,383.0,199.7,2.8,4.1,36.8,23.5,10.1,6.3,3.3,1.2
調味料・ソース,ソース・ケチャップ,149,158.6,148.2,3.3,4.2,10.3,15.6,13.9,10.7,4.0,3.8
調味料・ソース,だし・スープの素,74,202.9,118.8,16.8,20.4,4.3,4.9,23.6,18.2,19.9,18.0
調味料・ソース,みそ,27,200.1,18.8,10.0,2.1,5.2,1.6,28.0,7.9,10.3,1.8
調味料・ソース,しょうゆ,3,145.8,50.3,6.5,3.6,1.7,2.9,26.2,6.0,11.3,2.6
