db,category_name,n,energy_mean_kcal,energy_sd,protein_mean_g,protein_sd,fat_mean_g,fat_sd,carb_mean_g,carb_sd,salt_eq_mean_g,salt_eq_sd
US,All Noodles,995,343.9,99.3,10.7,6.1,5.5,5.9,62.5,18.4,1.2,1.7
JB,即席麺,401,394.6,176.5,9.7,4.5,15.1,10.1,55.3,22.0,5.1,2.4
JB,冷凍麺,229,163.3,96.0,4.7,2.4,3.6,4.7,28.2,14.5,1.9,1.3
JB,チルド麺,52,232.3,100.9,7.5,4.5,2.2,1.9,45.6,20.6,3.0,2.4
JB,その他穀物加工品,32,246.2,108.3,6.3,4.1,1.4,1.0,52.1,24.8,2.2,2.0
US,Rice,1962,345.8,53.9,7.3,2.7,1.1,3.0,75.7,12.6,0.1,0.6
JB,冷凍米飯,59,132.9,55.3,2.4,1.0,0.8,0.6,29.2,13.0,0.4,0.4
JB,レトルト米飯・粥,50,254.3,235.8,6.9,8.3,5.6,7.7,44.8,36.6,1.7,2.1
JB,その他穀物加工品,24,265.1,51.7,5.0,1.2,1.2,1.0,58.8,10.3,0.0,0.0
US,Flavored Rice Dishes,789,329.1,74.6,8.8,4.1,2.2,2.5,67.7,16.9,2.4,1.7
JB,冷凍米飯,38,130.0,66.6,3.1,1.7,2.6,1.9,23.9,13.5,0.8,0.4
US,Cereal,8214,387.4,58.3,9.4,5.4,7.8,8.2,73.4,17.7,0.8,0.6
JB,その他穀物加工品,19,422.0,41.9,8.8,4.6,11.3,8.9,74.5,12.4,0.8,0.6
JB,スナック菓子,14,132.2,148.8,2.3,1.6,3.8,6.5,23.4,22.2,0.2,0.2
US,Other Grains & Seeds,1136,413.9,115.2,16.1,11.0,17.3,16.9,51.2,22.8,0.2,0.8
JB,その他穀物加工品,15,360.1,33.9,11.2,8.7,5.4,5.7,69.4,13.8,0.0,0.2
US,Pasta by Shape & Type,6651,323.1,69.8,11.8,4.0,2.9,3.1,63.4,20.5,0.3,0.5
JB,その他穀物加工品,18,353.0,20.8,11.6,3.0,1.7,0.2,72.7,3.4,0.2,0.8
US,Flours & Corn Meal,1335,364.3,79.8,10.2,7.9,4.8,11.7,71.4,17.5,0.4,1.2
JB,その他穀物加工品,14,348.6,29.1,9.7,2.6,1.6,0.4,74.1,7.7,0.1,0.2
US,Cake Cookie & Cupcake Mixes,3475,380.1,55.8,6.8,5.5,7.0,7.1,74.3,13.7,1.6,2.1
