food_id,category_l1_jp,category_l2,food_name_jp,fdc_id,food_name_en,usda_category,confidence,jp_energy_kcal,us_energy_kcal,diff_energy_kcal,jp_protein,us_protein,diff_protein,jp_fat,us_fat,diff_fat,jp_carb,us_carb,diff_carb,jp_fiber,us_fiber,diff_fiber,jp_Ca,us_Ca,diff_Ca,jp_Fe,us_Fe,diff_Fe,jp_K,us_K,diff_K,jp_Zn,us_Zn,diff_Zn,jp_vit_C,us_vit_C,diff_vit_C,jp_vit_A_RAE,us_vit_A_RAE,diff_vit_A_RAE,jp_vit_B1,us_vit_B1,diff_vit_B1,jp_vit_B2,us_vit_B2,diff_vit_B2,jp_vit_D,us_vit_D,diff_vit_D,jp_vit_B12,us_vit_B12,diff_vit_B12,jp_salt_eq,us_salt_eq,diff_salt_eq
01001,穀類,,アマランサス　玄穀,170682,"Amaranth grain, uncooked",Cereal Grains and Pasta,high,343.0,371,28.0,12.7,13.6,0.9,5.0,7.02,2.02,63.5,65.2,1.7,7.4,6.7,-0.7,160.0,159,-1.0,9.4,7.61,-1.79,600.0,508,-92.0,5.8,2.87,-2.93,0.0,4.2,4.2,2.0,0.0,-2.0,0.04,0.116,0.076,0.14,0.2,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
01004,穀類,,えんばく　オートミール,172989,"Cereals, QUAKER, Quick Oats, Dry",Breakfast Cereals,high,350.0,371,21.0,13.7,13.7,0.0,5.1,6.87,1.77,63.1,68.2,5.1,9.4,9.4,0.0,47.0,47.0,0.0,3.9,4.64,0.74,260.0,358,98.0,2.1,3.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.54,0.34,0.08,0.12,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.008
01005,穀類,,おおむぎ　七分つき押麦,169739,Barley flour or meal,Cereal Grains and Pasta,high,343.0,345,2.0,10.9,10.5,-0.4,1.8,1.6,-0.2,71.3,74.5,3.2,10.3,10.1,-0.2,23.0,32.0,9.0,1.3,2.68,1.38,220.0,309,89.0,1.4,2.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.37,0.15,0.07,0.114,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
01006,穀類,,おおむぎ　押麦　乾,170284,"Barley, pearled, raw",Cereal Grains and Pasta,high,329.0,352,23.0,6.7,9.91,3.21,1.2,1.16,-0.04,72.4,77.7,5.3,12.2,15.6,3.4,21.0,29.0,8.0,1.1,2.5,1.4,210.0,280,70.0,1.1,2.13,1.03,0.0,0.0,0.0,0.0,1.0,1.0,0.11,0.191,0.081,0.03,0.114,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.023
01012,穀類,,こむぎ　［玄穀］　国産　普通,168891,"Wheat, soft red winter",Cereal Grains and Pasta,high,329.0,331,2.0,10.8,10.4,-0.4,2.5,1.56,-0.94,64.3,74.2,9.9,14.0,12.5,-1.5,26.0,27.0,1.0,3.2,3.21,0.01,440.0,397,-43.0,2.6,2.63,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.394,-0.016,0.09,0.096,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005
01014,穀類,,こむぎ　［玄穀］　輸入　硬質,168890,"Wheat, hard red winter",Cereal Grains and Pasta,high,332.0,327,-5.0,13.0,12.6,-0.4,2.5,1.54,-0.96,62.6,71.2,8.6,11.4,12.2,0.8,26.0,29.0,3.0,3.2,3.19,-0.01,340.0,363,23.0,3.1,2.65,-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.383,0.033,0.09,0.115,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005
01019,穀類,,こむぎ　［小麦粉］　中力粉　2等,172019,"Wheat flour, white (industrial), 10% protein, bleached, unenriched",Cereal Grains and Pasta,high,346.0,366,20.0,9.7,9.71,0.01,1.6,1.48,-0.12,73.1,76.2,3.1,2.1,2.4,0.3,24.0,20.0,-4.0,1.1,1.26,0.16,110.0,149,39.0,0.6,1.02,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.194,-0.026,0.04,0.072,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005
01021,穀類,,こむぎ　［小麦粉］　強力粉　2等,168913,"Wheat flours, bread, unenriched",Cereal Grains and Pasta,high,343.0,361,18.0,12.6,12.0,-0.6,1.5,1.66,0.16,70.0,72.5,2.5,2.1,2.4,0.3,21.0,15.0,-6.0,1.0,0.9,-0.1,86.0,100,14.0,1.0,0.85,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.08,-0.05,0.04,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005
01024,穀類,,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,175078,"Artificial Blueberry Muffin Mix, dry",Baked Products,high,360.0,407,47.0,7.8,4.7,-3.1,3.6,8.7,5.1,78.6,77.4,-1.2,1.8,,,100.0,,,0.5,,,230.0,,,0.3,,,0.0,,,3.0,,,0.1,,,0.08,,,0.1,,,0.1,,,1.0,1.93,0.93
01025,穀類,,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",Baked Products,high,337.0,377,40.0,8.8,6.1,-2.7,1.1,3.7,2.6,77.1,79.8,2.7,2.5,,,140.0,,,0.6,,,160.0,,,0.5,,,0.0,,,4.0,,,0.12,,,0.99,,,0.0,,,0.0,,,0.5,5.537,5.037
01031,穀類,,こむぎ　［パン類］　フランスパン,172816,"Bread, pita, white, unenriched",Baked Products,high,289.0,275,-14.0,9.4,9.1,-0.3,1.1,1.2,0.1,63.9,55.7,-8.2,2.7,2.2,-0.5,16.0,86.0,70.0,0.9,1.4,0.5,110.0,120,10.0,0.8,0.84,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.267,0.187,0.05,0.097,0.047,0.0,,,0.0,0.0,0.0,1.6,1.361,-0.239
01034,穀類,,こむぎ　［パン類］　ロールパン,171861,"Rolls, gluten-free, white, made with brown rice flour, tapioca starch, and potato starch",Baked Products,high,309.0,310,1.0,10.1,7.99,-2.11,8.5,6.4,-2.1,49.7,55.1,5.4,2.0,3.6,1.6,44.0,82.0,38.0,0.7,0.78,0.08,110.0,161,51.0,0.8,0.7,-0.1,0.0,,,15.0,,,0.1,,,0.06,,,0.1,,,,,,1.2,1.796,0.596
01035,穀類,,こむぎ　［パン類］　クロワッサン　リッチタイプ,172824,"Danish pastry, cinnamon, unenriched",Baked Products,high,438.0,403,-35.0,7.9,7.0,-0.9,25.4,22.4,-3.0,,44.6,,1.8,1.2,-0.6,21.0,71.0,50.0,0.6,0.78,0.18,90.0,125,35.0,0.6,0.72,0.12,0.0,0.2,0.2,69.0,4.0,-65.0,0.08,0.18,0.1,0.03,0.1,0.07,0.1,,,,0.1,,1.2,0.942,-0.258
01036,穀類,,こむぎ　［パン類］　イングリッシュマフィン,167515,"George Weston Bakeries, Thomas English Muffins",Baked Products,high,224.0,232,8.0,8.1,8.0,-0.1,3.2,1.8,-1.4,40.1,46.0,5.9,1.2,,,53.0,180,127.0,0.9,1.4,0.5,84.0,,,0.8,,,0.0,,,1.0,0.0,-1.0,0.15,,,0.08,,,0.0,,,0.0,,,1.2,0.876,-0.324
01043,穀類,,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,168908,"Noodles, japanese, somen, dry",Cereal Grains and Pasta,high,333.0,356,23.0,9.5,11.4,1.9,1.0,0.81,-0.19,71.5,74.1,2.6,2.5,4.3,1.8,17.0,23.0,6.0,0.6,1.32,0.72,120.0,164,44.0,0.4,0.45,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.101,0.021,0.02,0.026,0.006,0.0,0.0,0.0,0.0,0.0,0.0,3.8,4.674,0.874
01044,穀類,,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,168909,"Noodles, japanese, somen, cooked",Cereal Grains and Pasta,high,114.0,131,17.0,3.5,4.0,0.5,0.3,0.18,-0.12,25.6,27.5,1.9,0.9,,,6.0,8.0,2.0,0.2,0.52,0.32,5.0,29.0,24.0,0.2,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.01,0.033,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.409,0.209
01063,穀類,,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,168927,"Pasta, dry, unenriched",Cereal Grains and Pasta,high,347.0,371,24.0,12.9,13.0,0.1,1.5,1.51,0.01,73.4,74.7,1.3,5.4,3.2,-2.2,18.0,21.0,3.0,1.4,1.3,-0.1,200.0,223,23.0,1.5,1.41,-0.09,0.0,0.0,0.0,9.0,0.0,-9.0,0.19,0.09,-0.1,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.015
01064,穀類,,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,169751,"Pasta, cooked, enriched, with added salt",Cereal Grains and Pasta,high,150.0,157,7.0,5.8,5.8,0.0,0.7,0.93,0.23,31.3,30.6,-0.7,3.0,1.8,-1.2,8.0,7.0,-1.0,0.7,1.28,0.58,14.0,44.0,30.0,0.7,0.51,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.274,0.214,0.03,0.136,0.106,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.333,-0.867
01070,穀類,,こむぎ　［その他］　小麦はいが,168892,"Wheat germ, crude",Cereal Grains and Pasta,high,391.0,360,-31.0,32.0,23.2,-8.8,10.4,9.72,-0.68,29.6,51.8,22.2,14.3,13.2,-1.1,42.0,39.0,-3.0,9.4,6.26,-3.14,1100.0,892,-208.0,16.0,12.3,-3.7,0.0,0.0,0.0,63.0,0.0,-63.0,1.82,1.88,0.06,0.71,0.499,-0.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03
01071,穀類,,こむぎ　［その他］　小麦たんぱく　粉末状,168147,Vital wheat gluten,Cereal Grains and Pasta,high,398.0,370,-28.0,72.0,75.2,3.2,6.7,1.85,-4.85,,13.8,,2.4,0.6,-1.8,75.0,142,67.0,6.6,5.2,-1.4,90.0,100,10.0,5.0,0.85,-4.15,0.0,0.0,0.0,12.0,0.0,-12.0,0.03,0.0,-0.03,0.12,0.0,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.074,-0.126
01076,穀類,,こむぎ　［その他］　ピザ生地,173261,"Pillsbury, Crusty French Loaf, refrigerated dough",Baked Products,high,265.0,243,-22.0,9.1,8.59,-0.51,2.7,2.88,0.18,53.2,46.4,-6.8,2.3,2.6,0.3,13.0,19.0,6.0,0.8,2.27,1.47,91.0,,,0.6,,,0.0,0.0,0.0,0.0,0.0,0.0,0.15,,,0.11,,,0.0,,,0.0,,,1.3,1.46,0.16
01080,穀類,,こめ　［水稲穀粒］　玄米,169706,"Rice, brown, medium-grain, raw (Includes foods for USDA's Food Distribution Program)",Cereal Grains and Pasta,high,346.0,362,16.0,6.8,7.5,0.7,2.5,2.68,0.18,78.4,76.2,-2.2,3.0,3.4,0.4,9.0,33.0,24.0,2.1,1.8,-0.3,230.0,268,38.0,1.8,2.02,0.22,0.0,0.0,0.0,1.0,0.0,-1.0,0.41,0.413,0.003,0.04,0.043,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
