food_id,food_name_jp,category_l1,category_l2,matched,no_match,fdc_id,food_name_en,usda_category,confidence,reason,energy_diff_pct,mext_energy,usda_energy,diff_energy_kcal,diff_protein,diff_fat,diff_carb,diff_fiber,diff_Ca,diff_Fe,diff_K,diff_Zn,diff_vit_C,diff_vit_A_RAE,diff_vit_B1,diff_vit_B2,diff_vit_D,diff_vit_B12,diff_salt_eq
01001,アマランサス　玄穀,穀類,,True,False,170682,"Amaranth grain, uncooked",Cereal Grains and Pasta,high,"Amaranth grain uncooked is the exact same food item as the Japanese アマランサス玄穀 (amaranth whole grain), with nearly identical nutrient profiles across all measured parameters",7.8,343.0,371,28.0,0.9,2.02,1.7,-0.7,-1.0,-1.79,-92.0,-2.93,4.2,-2.0,0.076,0.06,0.0,0.0,0.01
01003,あわ　あわもち,穀類,,True,False,169725,"Wheat, sprouted",Cereal Grains and Pasta,medium,"Awa (foxtail millet) is a whole grain cereal; sprouted wheat matches the grain category and nutrient profile most closely (similar energy, protein, carbs, and fiber content) despite being a different grain species.",5.9,210.0,198,-12.0,2.39,0.07,-2.0,-0.4,23.0,1.44,107.0,0.55,2.6,0.0,0.145,0.145,0.0,0.0,0.041
01004,えんばく　オートミール,穀類,,True,False,172989,"Cereals, QUAKER, Quick Oats, Dry",Breakfast Cereals,high,"えんばく (oatmeal) is oats; Quaker Quick Oats matches nearly perfectly on protein (13.7g), energy (371 vs 350kcal), and carbohydrates, with only slightly higher fat (6.87 vs 5.1g) due to processing differences.",5.8,350.0,371,21.0,0.0,1.77,5.1,0.0,0.0,0.74,98.0,1.1,0.0,0.0,0.34,0.04,0.0,0.0,0.008
01005,おおむぎ　七分つき押麦,穀類,,True,False,169739,Barley flour or meal,Cereal Grains and Pasta,high,"Barley flour matches both the food concept (押麦 is pressed/flaked barley) and nutrient profile nearly identically: similar energy (345 vs 343 kcal), protein (10.5 vs 10.9g), fat (1.6 vs 1.8g), and carbohydrates (74.5 vs 71.3g)",0.6,343.0,345,2.0,-0.4,-0.2,3.2,-0.2,9.0,1.38,89.0,0.6,0.0,0.0,0.15,0.044,0.0,0.0,0.01
01006,おおむぎ　押麦　乾,穀類,,True,False,170284,"Barley, pearled, raw",Cereal Grains and Pasta,high,"Ōmugi (barley) pressed grain matches pearled barley nutritionally and conceptually; similar energy (329 vs 352 kcal), protein (6.7 vs 9.91g), fiber content, and whole grain composition",6.8,329.0,352,23.0,3.21,-0.04,5.3,3.4,8.0,1.4,70.0,1.03,0.0,1.0,0.081,0.084,0.0,0.0,0.023
01170,おおむぎ　押麦　めし,穀類,,True,False,168932,"Rice, white, short-grain, cooked, unenriched",Cereal Grains and Pasta,high,"Oshimugi (pressed barley) cooked rice is a barley-based grain dish; white short-grain rice is the closest match in energy (130 vs 118 kcal), carbohydrates (28.7 vs 24.2g), and protein (2.36 vs 2.2g), though barley typically has higher fiber which the Japanese entry reflects (4.2g).",9.7,118.0,130,12.0,0.16,-0.21,4.5,,-5.0,-0.2,-12.0,0.0,0.0,,0.0,,0.0,0.0,
01007,おおむぎ　米粒麦,穀類,,True,False,169739,Barley flour or meal,Cereal Grains and Pasta,high,"Barley flour matches おおむぎ (barley) grain product with similar energy (345 vs 333 kcal), protein (10.5 vs 7.0g), fiber content, and is the correct cereal grain category",3.5,333.0,345,12.0,3.5,-0.2,5.7,1.4,15.0,1.48,139.0,0.8,0.0,0.0,0.18,0.064,0.0,0.0,0.01
01008,おおむぎ　大麦めん　乾,穀類,,True,False,169718,Triticale,Cereal Grains and Pasta,high,"Triticale grain matches barley noodles in category (cereal grain), energy (336 vs 343 kcal), protein (13.0 vs 12.9g), carbs (72.1 vs 72.2g), fiber content, and mineral profile including iron and zinc levels most closely among all candidates.",2.1,343.0,336,-7.0,0.1,0.69,-0.1,,10.0,0.47,92.0,1.95,0.0,0.0,0.206,0.094,0.0,0.0,-2.787
01009,おおむぎ　大麦めん　ゆで,穀類,,True,False,168909,"Noodles, japanese, somen, cooked",Cereal Grains and Pasta,high,"Japanese barley noodles (cooked) best match somen noodles in energy (121 vs 131 kcal), carbs (25.2 vs 27.5g), protein (4.8 vs 4.0g), and are both thin cooked Japanese noodles with similar sodium content (0.2 vs 0.409g salt)",7.9,121.0,131,10.0,-0.8,-0.32,2.3,,-4.0,-0.38,19.0,-0.38,0.0,0.0,-0.02,0.023,0.0,0.0,0.209
01010,おおむぎ　麦こがし,穀類,,True,False,170284,"Barley, pearled, raw",Cereal Grains and Pasta,high,"おおむぎ麦こがし (roasted barley) is barley grain product; pearled barley raw is the closest USDA match in grain category with similar nutrient profile (energy, protein, carbs) despite slight processing differences",4.4,368.0,352,-16.0,-2.59,-3.04,-2.4,0.1,-14.0,-0.6,-210.0,-1.67,0.0,1.0,0.101,0.014,0.0,0.0,0.023
